filename,xmin,xmax,ymin,ymax,label
1.jpg,267.6152450090744,380.98003629764065,176.55172413793105,253.6769509981851,1
2.jpg,264.0278745644599,377.31010452961675,153.42160278745644,256.89198606271776,1
3.jpg,267.59581881533103,381.77003484320556,156.09756097560975,281.86759581881535,1
4.jpg,272.9477351916376,379.98606271777004,163.2334494773519,280.9756097560976,1
5.jpg,284.54355400696863,393.3658536585366,158.77351916376307,298.81533101045295,1
6.jpg,257.7839721254355,314.87108013937285,182.85714285714286,244.404181184669,1
7.jpg,257.7839721254355,313.08710801393727,184.6411149825784,245.29616724738676,1
8.jpg,255.10801393728224,311.30313588850174,193.5609756097561,259.5679442508711,1
9.jpg,209.61672473867597,286.32752613240416,255.10801393728224,319.33101045296166,1
10.jpg,236.37630662020905,300.5993031358885,251.54006968641116,325.57491289198606,1
11.jpg,231.9163763066202,318.4390243902439,246.18815331010452,334.49477351916374,1
12.jpg,230.13240418118468,325.57491289198606,239.94425087108013,343.4146341463415,1
13.jpg,230.13240418118468,325.57491289198606,237.26829268292684,347.8745644599303,1
14.jpg,235.4843205574913,317.54703832752614,241.72822299651568,341.6306620209059,1
15.jpg,240.83623693379792,307.73519163763063,253.32404181184668,332.7108013937282,1
16.jpg,237.07137429726612,276.41296011814865,194.6642103604707,217.6560462298176,1
17.jpg,231.9163763066202,293.4634146341463,161.44947735191639,221.21254355400697,1
18.jpg,237.21393169465793,288.72687664711714,162.17038225774203,209.23159122665538,1
19.jpg,245.7122161919616,285.0261707826755,169.05000474006957,201.81163356566447,1
20.jpg,238.44400252007287,327.7136783403957,270.7455299550581,347.68189530020476,1
21.jpg,233.11718699579436,332.7703356352179,269.30077072796604,351.75188775701287,1
22.jpg,231.08728514304528,334.352447986259,266.3485602602402,347.5754261552071,1
23.jpg,231.9163763066202,316.6550522648084,264.0278745644599,346.98257839721254,1
24.jpg,274.7317073170732,335.3867595818815,232.80836236933797,301.4912891986063,1
25.jpg,274.7317073170732,328.25087108013935,228.34843205574913,349.6585365853659,1
26.jpg,203.7211987970066,232.67382394903595,358.48614051876353,392.1764679683977,1
27.jpg,174.82926829268294,227.45644599303137,131.1219512195122,170.36933797909407,1
28.jpg,161.34319303525737,230.74449298057027,169.64762208854268,211.1697673549692,1
29.jpg,154.7995793935568,231.23588623103922,168.9306613298981,232.5205300434339,1
30.jpg,154.6760116503682,228.46640252944292,153.25696567192446,236.27115541088352,1
31.jpg,152.21052752371384,230.9629308946788,148.23981811005171,237.58077991744898,1
32.jpg,206.69130740123305,254.02062126992118,187.51993975822012,276.78662034599904,1
33.jpg,207.93941070264776,254.30427930526517,205.12941866612547,282.40419967048786,1
34.jpg,245.2602808513197,261.3806748978853,125.50878221968942,154.87092851879106,1
35.jpg,253.12558209129207,273.2748821582606,360.7984043241551,394.1706825600717,1
36.jpg,225.82073320723242,283.72348531165096,191.8028663458865,239.57263683203183,1
37.jpg,223.64938000331668,285.1710541142614,190.355297543276,241.7439900359475,1
38.jpg,220.9587357318819,287.7602139764043,178.56548992285803,246.65161197977514,1
39.jpg,213.55222929599915,284.4974329882942,173.42160902561005,247.94990381347552,1
40.jpg,217.2184001671693,279.3961578358386,176.03572950350522,244.67351394294536,1
